file_path,case_name,predictor,episode_id,check_name,severity,status,message,observed,expected,rel_error
results\mpc_phase1\pinn\te_ext_01.json,singlezone_commercial_hydronic,pinn,te_ext_01,energy_integral_total,error,pass,"sum(max(power_w,0))*dt_h should match diagnostic total_energy_Wh",13466277.775000049,13466277.78,3.71294177190576e-10
results\mpc_phase1\pinn\te_ext_01.json,singlezone_commercial_hydronic,pinn,te_ext_01,peak_power,error,pass,max(power_w) should match diagnostic peak_power_W,177893.29330226622,177893.29,1.8563185885677762e-08
results\mpc_phase1\pinn\te_ext_01.json,singlezone_commercial_hydronic,pinn,te_ext_01,energy_integral_heating,error,pass,"sum(max(power_heating_w,0))*dt_h should match diagnostic heating_energy_Wh",13299190.611824187,13299190.61,1.3716527331092862e-10
results\mpc_phase1\pinn\te_ext_01.json,singlezone_commercial_hydronic,pinn,te_ext_01,energy_integral_electric,warning,pass,"sum(max(power_electric_w,0))*dt_h should match diagnostic electric_energy_Wh",167087.16317586155,167087.16,1.900721486574044e-08
results\mpc_phase1\pinn\te_ext_01.json,singlezone_commercial_hydronic,pinn,te_ext_01,solve_time_mean,warning,pass,mean(step.solve_time_ms) should match diagnostic mpc_solve_time_mean_ms,87.8239953848866,87.824,5.254956956209747e-08
results\mpc_phase1\pinn\te_ext_01.json,singlezone_commercial_hydronic,pinn,te_ext_01,comfort_integral,error,pass,reconstructed comfort from step bounds should match diagnostic comfort_Kh,0.5838893060430905,0.5839,1.831470613023914e-05
results\mpc_phase1\pinn\te_ext_01.json,singlezone_commercial_hydronic,pinn,te_ext_01,comfort_violation_steps,error,pass,count of violating steps should match diagnostic comfort_violation_steps,72.0,72.0,0.0
results\mpc_phase1\pinn\te_ext_01.json,singlezone_commercial_hydronic,pinn,te_ext_01,challenge_equals_boptest_cost_tot,error,pass,challenge_kpis value should equal boptest_kpis value,0.1288476691100399,0.1288476691100399,0.0
results\mpc_phase1\pinn\te_ext_01.json,singlezone_commercial_hydronic,pinn,te_ext_01,challenge_equals_boptest_tdis_tot,error,pass,challenge_kpis value should equal boptest_kpis value,0.6904492873867961,0.6904492873867961,0.0
results\mpc_phase1\pinn\te_ext_01.json,singlezone_commercial_hydronic,pinn,te_ext_01,challenge_equals_boptest_idis_tot,error,pass,challenge_kpis value should equal boptest_kpis value,0.0,0.0,0.0
results\mpc_phase1\pinn\te_ext_01.json,singlezone_commercial_hydronic,pinn,te_ext_01,challenge_equals_boptest_pele_tot,error,pass,challenge_kpis value should equal boptest_kpis value,0.00029181829021570694,0.00029181829021570694,0.0
results\mpc_phase1\pinn\te_ext_01.json,singlezone_commercial_hydronic,pinn,te_ext_01,challenge_equals_boptest_pdih_tot,error,pass,challenge_kpis value should equal boptest_kpis value,0.019766037198016707,0.019766037198016707,0.0
results\mpc_phase1\pinn\te_ext_02.json,singlezone_commercial_hydronic,pinn,te_ext_02,energy_integral_total,error,pass,"sum(max(power_w,0))*dt_h should match diagnostic total_energy_Wh",13466277.775000049,13466277.78,3.71294177190576e-10
