time_s,T_zone_degC,T_outdoor_degC,H_global_Wm2,u_heating,power_W,energy_Wh_step
0,19.896631609896986,6.987695312000028,0.0,21.805674803545635,1035.7795017422839,258.94487543557096
900,20.100383688041347,6.9765625,0.0,21.805674803545635,1074.4295062301694,268.60737655754235
1800,20.373520160311216,6.967773437000005,0.0,21.805674803545635,1087.3905507051822,271.84763767629556
2700,20.592154518239283,6.962500000000034,0.0,21.805674803545635,1093.3860154213903,273.3465038553476
3600,20.751622529656345,6.961914062000005,0.0,21.305674803545635,1095.0793909594895,273.7698477398724
4500,20.869512026809502,6.967187500000023,0.0,21.305674803545635,1096.923183744136,274.230795936034
5400,20.960990574977984,6.979492187000005,0.0,21.305674803545635,1098.2203647854385,274.5550911963596
6300,21.0354903622586,7.0,0.0,21.305674803545635,1098.6564247964861,274.66410619912153
7200,21.098193120090855,7.025000000000034,0.0,20.805674803545635,1097.3550582911403,274.33876457278507
8100,21.152336425114072,7.050000000000011,0.0,20.805674803545635,1096.037301845369,274.00932546134226
9000,21.200210056071626,7.0750000000000455,0.0,20.805674803545635,1094.340044284734,273.5850110711835
9900,21.243217868734007,7.100000000000023,0.0,20.805674803545635,1092.1710196563108,273.0427549140777
10800,21.282152357389123,7.1226721940000175,0.0,20.805674803545635,1089.3965736361642,272.34914340904106
11700,21.31740717237949,7.1437925170000085,0.0,20.805674803545635,1085.8253133813978,271.45632834534945
12600,21.349072175704293,7.168016582000007,0.0,20.805674803545635,1081.1814688518132,270.2953672129533
13500,21.37691205174616,7.2000000000000455,0.0,20.805674803545635,1075.0635198934565,268.7658799733641
14400,21.397715427660557,7.2429209180000385,0.0,20.305674803545635,1054.858927345318,263.7147318363295
15300,21.40400598674796,7.293707483000048,0.0,20.305674803545635,1022.9907914619862,255.74769786549655
16200,21.382026725911203,7.347640306000017,0.0,20.305674803545635,974.8147858038261,243.70369645095653
17100,21.301044017918628,7.400000000000034,0.0,20.305674803545635,916.4183841162169,229.10459602905422
18000,21.128118510519528,7.4500000000000455,0.0,20.305674803545635,897.6993650776864,224.4248412694216
18900,20.928903694442113,7.5,0.0,20.305674803545635,897.6994763131136,224.4248690782784
19800,20.746845411743095,7.550000000000011,0.0,20.305674803545635,897.6996839602394,224.42492099005983
20700,20.584218831445696,7.600000000000023,0.0,20.305674803545635,897.7000204245043,224.42500510612606
21600,20.46205420623636,7.650000000000034,0.0,20.805674803545635,923.3282785531051,230.83206963827627
22500,20.422617605056928,7.7000000000000455,0.0,20.805674803545635,946.6373335792905,236.65933339482262
23400,20.470341474336465,7.75,0.0,20.805674803545635,966.0559287200194,241.51398218000486
24300,20.57277686754378,7.800000000000011,0.0,20.805674803545635,979.03447921536,244.75861980384
25200,20.70768005671289,7.8367187500000455,0.0,21.305674803545635,1014.3329109638919,253.58322774097297
26100,20.851094361574894,7.8562500000000455,0.0,21.305674803545635,1032.0226681876356,258.0056670469089
27000,20.976959005210347,7.872656250000034,0.0,21.305674803545635,1042.7536506816334,260.68841267040835
27900,21.078800635505786,7.900000000000034,0.0,21.305674803545635,1049.1946915850658,262.29867289626645
28800,21.159103259679,7.940625000000011,0.0,21.305674803545635,1053.0002352476567,263.2500588119142
29700,21.222538257453948,7.987500000000011,0.0,21.305674803545635,1055.0907565211596,263.7726891302899
30600,21.273441361443133,8.040625000000034,0.0,21.305674803545635,1055.9752657230576,263.9938164307644
31500,21.315120764057497,8.100000000000023,0.0,21.305674803545635,1055.9361301415863,263.9840325353966
32400,21.345636456082445,8.168750000000045,0.0,20.805674803545635,1038.550568011785,259.6376420029462
33300,21.36049469514569,8.245833333000007,0.0,20.805674803545635,1019.6401478506089,254.91003696265224
34200,21.357301237036665,8.325000000000045,0.128676470588,20.805674803545635,996.411183974781,249.10279599369525
35100,21.331236139390796,8.400000000000034,1.17647058824,20.805674803545635,970.0779793880761,242.51949484701902
36000,21.27511216487585,8.473437500000045,4.13602941176,20.805674803545635,943.3648794628118,235.84121986570295
36900,21.18220583367969,8.541666667000015,10.0,20.805674803545635,919.2057881965973,229.80144704914935
37800,21.052326625951878,8.589062500000011,19.0439022289,20.805674803545635,901.6983736840764,225.4245934210191
38700,20.89845187711518,8.600000000000023,30.2200137868,20.805674803545635,897.6997562260727,224.42493905651818
39600,20.74633418972803,8.556250000000034,42.5361184513,20.305674803545635,897.6998912835639,224.42497282089099
40500,20.6092763308111,8.47083333300003,55.0,20.305674803545635,897.7001124814605,224.4250281203651
41400,20.495182578894116,8.375,67.7269664418,20.305674803545635,897.7016672481466,224.42541681203664
42300,20.402183609637575,8.300000000000011,81.0648792614,20.305674803545635,898.0507912668442,224.51269781671107
43200,20.327580557176248,8.248437500000023,94.3703524503,20.305674803545635,898.5564834529617,224.63912086324046
44100,20.26872835763902,8.200000000000045,107.0,20.305674803545635,900.3930869041873,225.09827172604682
45000,20.22648568297376,8.151562500000011,117.474269481,20.305674803545635,905.4204740335744,226.3551185083936
45900,20.206760446231726,8.100000000000023,124.770779221,20.305674803545635,911.6969378165918,227.92423445414795
46800,20.213356882848927,8.048437500000034,128.931899351,20.305674803545635,917.7039159512385,229.42597898780963
47700,20.246837683437718,7.991666667000004,130.0,20.305674803545635,921.7689941143332,230.4422485285833
48600,20.298677849012392,7.9140625,128.070253759,20.305674803545635,922.6697379080383,230.66743447700958
49500,20.353242560151898,7.800000000000011,123.234962406,20.305674803545635,920.102743086479,230.02568577161975
50400,20.369496720878033,7.631250000000023,115.53218985,19.805674803545635,898.378212425255,224.59455310631375
51300,20.34749288004741,7.420833333000019,105.0,19.805674803545635,898.4647801058479,224.61619502646198
52200,20.320245909211906,7.2000000000000455,92.4096628289,19.805674803545635,898.6116649431701,224.65291623579253
53100,20.297151979782427,7.0,79.0266447368,19.805674803545635,898.7491328003556,224.6872832000889
54000,20.27871113328655,6.823325893000003,65.6303042763,19.805674803545635,898.8599221771696,224.7149805442924
